,iata_code,manufacturer,model,iata_group,iata_category,icao_code,nb_engines,aircraft_type
0,100,Fokker,100,100,2J,F100,2.0,J
1,141,BAe,146-100,146,4J,B461,4.0,J
2,142,BAe,BAE Systems 146-200 Passenger,146,4J,B462,4.0,J
3,143,BAe,146-300,146,4J,B463,4.0,J
4,146,BAe,146,,,,,
5,14F,BAe,146 Freighter (-100/200/300QT & QC),,,,,
6,14X,BAe,146 Freighter (-100QT & QC),14F,4J,B461,4.0,J
7,14Y,BAe,146 Freighter (-200QT & QC),14F,4J,B462,4.0,J
8,14Z,BAe,146 Freighter (-300QT & QC),14F,4J,B463,4.0,J
9,19D,Airbus,A319,,,,,
10,310,Airbus,A310,,,,,
11,312,Airbus,A310-200,310,2J,A310,2.0,J
12,313,Airbus,A310-300,310,2J,A310,2.0,J
13,318,Airbus,A318,32S,2J,A318,2.0,J
14,319,Airbus,A319,32S,2J,A319,2.0,J
15,31F,Airbus,A310F,,,,,
16,31W,Airbus,A319 (Sharklets),,,,,
17,31X,Airbus,A310-200F,31F,2J,A310,2.0,J
18,31Y,Airbus,A310-300F,31F,2J,A310,2.0,J
19,320,Airbus,A320-100/200,32S,2J,A320,2.0,J
20,321,Airbus,A321-100/200,32S,2J,A321,2.0,J
21,32A,Airbus,A320 (sharklets),32S,2J,A320,2.0,J
22,32B,Airbus,A321 (sharklets),32S,2J,A321,2.0,J
23,32C,Airbus,A318 (sharklets),,,,,
24,32D,Airbus,A319 (sharklets),,,,,
25,32F,Airbus,A320 Freighter,32F,2J,A320,2.0,J
26,32X,Airbus,A321 Freighter,32X,2J,A321,2.0,J
27,330,Airbus,A330,,,,,
28,332,Airbus,A330-200,330,2J,A332,2.0,J
29,333,Airbus,A330-300,330,2J,A333,2.0,J
30,33F,Airbus,A330 Freighter,,,,,
31,33X,Airbus,A330-200 Freighter,33F,2J,A332,2.0,J
32,340,Airbus,A340,,,,,
33,342,Airbus,A340-200,340,4J,A342,4.0,J
34,343,Airbus,A340-300,340,4J,A343,4.0,J
35,345,Airbus,A340-500,340,4J,A345,4.0,J
36,346,Airbus,A340-600,340,4J,A346,4.0,J
37,350,Airbus,A350,,,,,
38,351,Airbus,A350-1000,350,2J,ZZZZ,2.0,J
39,358,Airbus,A350-800,350,2J,ZZZZ,2.0,J
40,359,Airbus,A350-900,350,2J,ZZZZ,2.0,J
41,380,Airbus,A380,,,,,
42,388,Airbus,A380,380,4J,A388,4.0,J
43,38F,Airbus,A380F,38F,4J,A388,4.0,J
44,703,Boeing,707-300,707,4J,B703,4.0,J
45,707,Boeing,707/720,,,,,
46,70F,Boeing,707 Freighter,70F,4J,B703,4.0,J
47,70M,Boeing,707 Combi,70M,4J,B703,4.0,J
48,717,Boeing,717,717,2J,B712,2.0,J
49,721,Boeing,727-100,727,3J,B721,3.0,J
50,722,Boeing,727-200,727,3J,B722,3.0,J
51,727,Boeing,727,,,,,
52,72A,Boeing,727-200 Advanced,,,,,
53,72B,Boeing,727-100 Mixed,72M,3J,B721,3.0,J
54,72C,Boeing,727-200 Mixed,72M,3J,B722,3.0,J
55,72F,Boeing,727 Freighter (-100/200),,,,,
56,72M,Boeing,727 Combi,,,,,
57,72S,Boeing,727-200 Adv.,,,,,
58,72W,Boeing,727-200 (winglets),727,3J,B722,3.0,J
59,72X,Boeing,727-100 Freighter,72F,3J,B721,3.0,J
60,72Y,Boeing,727-200 Freighter,72F,3J,B722,3.0,J
61,731,Boeing,737-100,737,2J,B731,2.0,J
62,732,Boeing,737-200,737,2J,B732,2.0,J
63,733,Boeing,737-300,737,2J,B733,2.0,J
64,734,Boeing,737-400,737,2J,B734,2.0,J
65,735,Boeing,737-500,737,2J,B735,2.0,J
66,736,Boeing,737-600,737,2J,B736,2.0,J
67,737,Boeing,737,,,,,
68,738,Boeing,737-800,737,2J,B738,2.0,J
69,739,Boeing,737-900,737,2J,B739,2.0,J
70,73A,Boeing,737-200 Advanced,,,,,
71,73C,Boeing,737-300 (winglets),737,2J,B733,2.0,J
72,73E,Boeing,737-500 (winglets),737,2J,B735,2.0,J
73,73F,Boeing,737 Freighter,,,,,
74,73G,Boeing,737-700,737,2J,B737,2.0,J
75,73H,Boeing,737-800 (winglets),737,2J,B738,2.0,J
76,73J,Boeing,737-900 (winglets),737,2J,B739,2.0,J
77,73L,Boeing,737-200 Mixed Configuration,73M,2J,B732,2.0,J
78,73M,Boeing,737-200 Combi,,,,,
79,73N,Boeing,737-300 Mixed Configuration,73M,2J,B733,2.0,J
80,73P,Boeing,737-400 Freighter,73F,2J,B734,2.0,J
81,73Q,Boeing,737-400 Mixed Configuration,73M,2J,B734,2.0,J
82,73R,Boeing,737-700 Mixed Configuration,73M,2J,B737,2.0,J
83,73S,Boeing,737-200 Advanced,73F,2J,B737,2.0,J
84,73W,Boeing,737-700 (winglets),737,2J,B737,2.0,J
85,73X,Boeing,737-200 Freighter,73F,2J,B732,2.0,J
86,73Y,Boeing,737-300 Freighter,73F,2J,B733,2.0,J
87,73Z,Boeing,737-400 Freighter,,,,,
88,741,Boeing,747-100,747,4J,B741,4.0,J
89,742,Boeing,747-200,747,4J,B742,4.0,J
90,743,Boeing,747-300,747,4J,B743,4.0,J
91,744,Boeing,747-400,747,4J,B744,4.0,J
92,747,Boeing,747,,,,,
93,74B,Boeing,747-400 Swingtail Freighter,74F,4J,B744,4.0,J
94,74C,Boeing,747-200 Combi,74M,4J,B742,4.0,J
95,74D,Boeing,747-300 Combi,74M,4J,B743,4.0,J
96,74E,Boeing,747-400 Combi,74M,4J,B744,4.0,J
97,74F,Boeing,747 Freighter,,,,,
98,74H,Boeing,747-8i,747,4J,B748,4.0,J
99,74J,Boeing,747-400 (Domestic),747,4J,B74D,4.0,J
100,74L,Boeing,747SP,747,4J,B74S,4.0,J
101,74M,Boeing,747 Combi,,,,,
102,74N,Boeing,747-8F,74F,4J,B748,4.0,J
103,74R,Boeing,747SR,747,4J,B74R,4.0,J
104,74T,Boeing,747-100 Freighter,74F,4J,B741,4.0,J
105,74U,Boeing,747-300 / 747-200 SUD Freighter,74F,4J,B743,4.0,J
106,74V,Boeing,747SR Freighter,74F,4J,B74R,4.0,J
107,74X,Boeing,747-200 Freighter,74F,4J,B742,4.0,J
108,74Y,Boeing,747-400 Freighter,74F,4J,B744,4.0,J
109,752,Boeing,757-200,757,2J,B752,2.0,J
110,753,Boeing,757-300,757,2J,B753,2.0,J
111,757,Boeing,757,,,,,
112,75F,Boeing,757 Freighter,75F,2J,B752,2.0,J
113,75M,Boeing,757 Mixed,75M,2J,B752,2.0,J
114,75T,Boeing,757-300 (winglets),757,2J,B753,2.0,J
115,75W,Boeing,757-200 (winglets),757,2J,B752,2.0,J
116,762,Boeing,767-200,767,2J,B762,2.0,J
117,763,Boeing,767-300,767,2J,B763,2.0,J
118,764,Boeing,767-400,767,2J,B764,2.0,J
119,767,Boeing,767,,,,,
120,76F,Boeing,767 Freighter,,,,,
121,76V,Boeing,767-300 (winglets) Freighter,76F,2J,B763,2.0,J
122,76W,Boeing,767-300 (winglets),767,2J,B763,2.0,J
123,76X,Boeing,767-200 Freighter,76F,2J,B762,2.0,J
124,76Y,Boeing,767-300 Freighter,76F,2J,B763,2.0,J
125,772,Boeing,777-200,777,2J,B77L,2.0,J
126,773,Boeing,777-300,777,2J,B773,2.0,J
127,777,Boeing,777,,,,,
128,77F,Boeing,777 Freighter,,,,,
129,77L,Boeing,777-200LR,777,2J,B772,2.0,J
130,77W,Boeing,777-300ER,777,2J,B77W,2.0,J
131,77X,Boeing,777-200F Freighter,77F,2J,B772,2.0,J
132,783,Boeing,787-3,787,2J,B783,2.0,J
133,787,Boeing,787,,,,,
134,788,Boeing,787-8,787,2J,B788,2.0,J
135,789,Boeing,787-9,787,2J,B789,2.0,J
136,A22,Antonov,An-22,A22,4T,AN22,4.0,T
137,A26,Antonow / Antonov,An-26,AN6,2T,AN26,2.0,T
138,A28,Antonow / Antonov,An-28 / PZL Mielec M-28,A28,2T,AN28,2.0,T
139,A30,Antonow / Antonov,An-30,AN6,2T,AN30,2.0,T
140,A32,Antonow / Antonov,An-32,AN6,2T,AN32,2.0,T
141,A38,Antonov,An-38,A38,2T,AN38,2.0,T
142,A40,Antonow / Antonov,An-140,A40,2T,A140,2.0,T
143,A4F,Antonow / Antonov,An-124,A4F,4J,A124,4.0,J
144,A58,Antonov,An-158,A58,2J,ZZZZ,2.0,J
145,A5F,Antonov,An-225,A5F,6J,A225,6.0,J
146,A81,Antonov,An-148-100,A81,2J,A148,2.0,J
147,AB2,Airbus,A300B2,,,,,
148,AB3,Airbus,A300,,,,,
149,AB4,Airbus,A300B2/B4/C4,AB3,2J,A30B,2.0,J
150,AB6,Airbus,A300-600,AB3,2J,A306,2.0,J
151,ABB,Airbus,A300-600ST Beluga,ABF,2J,A3ST,2.0,J
152,ABF,Airbus,A300F,,,,,
153,ABM,Airbus,A300-600 Mixed Configuration,,,,,
154,ABX,Airbus,A300C4/F4 Freighter,ABF,2J,A30B,2.0,J
155,ABY,Airbus,A300-600F,ABF,2J,A306,2.0,J
156,ACD,Rockwell,Commander/Turbo Commander,,,,,
157,ACP,Rockwell,Commander,ACD,2P,*,2.0,P
158,ACT,Rockwell,Turbo Commander,ACD,2T,*,2.0,T
159,AGH,Agusta / AgustaWestland,A-109,AGH,H,A109,,H
160,ALM,Ayres,LM-200 Loadmaster,,,,,
161,AMD,Dassault,FALCON 10 / 20 / 50,,,,,
162,AN2,Antonov,An-2,,,,,
163,AN4,Antonow / Antonov,An-24,AN4,2T,AN24,2.0,T
164,AN6,Antonow / Antonov,An-26 / An-30 / An-32,,,,,
165,AN7,Antonow / Antonov,An-72 / An-74,AN7,2J,AN72,2.0,J
166,ANF,Antonow / Antonov,An-12,ANF,4T,AN12,4.0,T
167,APF,BAe,ATP Freighter,APF,2T,ZZZZ,2.0,T
168,APH,Eurocopter,SA330 Puma / AS332 Super Puma,APH,H,*,,H
169,AR1,BAe,Avro RJ100,ARJ,4J,RJ1H,4.0,J
170,AR7,BAe,Avro RJ70,ARJ,4J,RJ70,4.0,J
171,AR8,BAe,Avro RJ85,ARJ,4J,RJ85,4.0,J
172,ARJ,BAe,Avro RJ70 / RJ85 / RJ100,,,,,
173,AT4,ATR,ATR 42-300 / 320,ATR,2T,AT43,2.0,T
174,AT5,ATR,ATR 42-500,ATR,2T,AT45,2.0,T
175,AT7,ATR,ATR 72,ATR,2T,AT72,2.0,T
176,ATD,ATR,ATR 42-400,ATR,2T,AT44,2.0,T
177,ATF,ATR,ATR 72 Freighter,ATF,2T,AT72,2.0,T
178,ATP,BAe,ATP,ATP,2T,ATP,2.0,T
179,ATR,ATR,ATR 42 / ATR 72,,,,,
180,ATZ,ATR,ATR 42 Freighter,ATZ,2T,*,2.0,T
181,AWH,AgustaWestland,AW139,AWH,2T,A139,2.0,T
182,B11,BAC,One Eleven,,,,,
183,B12,BAC,One Eleven 200,B11,2J,BA11,2.0,J
184,B13,BAC,One Eleven 300,B11,2J,BA11,2.0,J
185,B14,BAC,One Eleven 400/47,B11,2J,BA11,2.0,J
186,B15,BAC,One Eleven 500,B11,2J,BA11,2.0,J
187,B72,Boeing,720B,707,4J,B720,4.0,J
188,BE1,Beechcraft,1900/1900C/1900D,,,,,
189,BE2,Beechcraft,Beech twin piston,BEC,2P,*,2.0,P
190,BE4,Beechcraft,Beechcraft 400,HBA,2J,BE40,2.0,J
191,BE9,Beechcraft,Beechcraft C99,BE9,2T,BE99,2.0,T
192,BEC,Beechcraft,Beech light aircraft,,,,,
193,BEF,Beechcraft,Beechcraft 1900 Freighter,BEF,2T,B190,2.0,T
194,BEH,Beechcraft,1900D,BE1,2T,B190,2.0,T
195,BEP,Beechcraft,Beech singe piston,BEC,1P,*,1.0,P
196,BES,Beechcraft,1900/1900C,BE1,2T,B190,2.0,T
197,BET,Beechcraft,Beech twin turboprop,BEC,2T,*,2.0,T
198,BH2,Bell Helicopter,Bell Helicopters,BH2,H,*,,H
199,BNI,Britten Norman,BN-2A/B Islander,BNI,2P,BN2P,2.0,P
200,BNT,Britten Norman,BN-2A Mk III Trislander,BNT,3P,TRIS,3.0,P
201,BTA,,Business Turbo-Prop Aircraft,BTA,2T,ZZZZ,2.0,T
202,BUS,Surface Equipment,Bus,BUS,S,0000,,S
203,C27,Comac,ARJ21-700,C21,2J,AJ27,2.0,J
204,C9B,Canadair,CRJ 900NG,,,,,
205,CCJ,Canadair,Challenger,CCJ,2J,CL60,2.0,J
